Source,Target,Weight
hatespeechradio,gaustenbooks,1
champagnemanoir,FrancaPorter,1
champagnemanoir,mashable,1
champagnemanoir,raywelling,1
mashable,web2marketer,1
mashable,thekatalist,1
mashable,rricha2835,1
mashable,lvpokersource,1
mashable,lorigama,1
mashable,darklight188,1
mashable,topspinrob,1
mashable,dkdugi,1
mashable,xocolatebar,1
mashable,mdee14,1
mashable,extramint,1
mashable,lindagabriel,1
mashable,kureng,1
mashable,blimage,1
mashable,lclark360,1
mashable,henriachterkamp,1
mashable,tweeetstreet,1
mashable,foxygknits,1
mashable,ideasoutloud,1
mashable,c0rmican,1
mashable,gdvanc,1
mashable,faeezha,1
mashable,erkleferkle,1
mashable,cal_el_uk,1
mashable,ilkere,1
mashable,vitaminych,1
mashable,mrmalgum,1
mashable,fadmedia,1
mashable,schwindtpr,1
mashable,rickardloof,1
mashable,reluctor,1
mashable,emmajanesaxby,1
mashable,jonasl,1
mashable,hannalar,1
mashable,ramnath,1
mashable,ley77,1
mashable,destinymascara,1
mashable,shenaphillipa,1
mashable,marina_26,1
mashable,gaellelovesmax,1
mashable,sreaumefarrand,1
mashable,couponbootcamp,1
mashable,jewel14,1
mashable,nsalisbury,1
mashable,dobeedobeeda,1
mashable,badboy49er,1
mashable,samoan,1
mashable,moviecritics,1
mashable,jstan,1
mashable,nlper123,1
mashable,laramedeiros,1
mashable,gerisomething,1
mashable,taqee,1
mashable,kmaemaxwell,1
mashable,alessiakirkland,1
mashable,nesu7,1
mashable,natgorman,1
mashable,dbenoliel,1
mashable,cdyer,1
mashable,nisssamsi,1
mashable,chrisedmonson,1
mashable,mrsvoss,1
mashable,gentlyrotate,1
mashable,1smrtcookie,1
mashable,neocam,1
mashable,focusnewmedia,1
mashable,vmills,1
mashable,jamisonnesta,1
mashable,jofarbotnik,1
mashable,dumblydore,1
mashable,cbtacy,1
mashable,kimberwitch,1
mashable,blueberryhilltx,1
mashable,gwiabba,1
mashable,nictinworth,1
mashable,360i,1
mashable,nancycawleyjean,1
mashable,hakim247,1
mashable,noelleabella,1
mashable,kjkarl,1
mashable,dcv3,1
mashable,powercioccio,1
mashable,shadowmystt,1
mashable,papillong,1
mashable,tuckriffic,1
mashable,jakphoto,1
mashable,drumstix,1
mashable,sugarjones,1
mashable,allisonm610,1
mashable,itsracheltime,1
mashable,darraez,1
mashable,uronlinepartner,1
mashable,rokinroll,1
mashable,eyzrbrn,1
mashable,jeffrey_paul,1
mashable,ericjackson,1
mashable,crochetgal,1
mashable,mlchawaii,1
mashable,vipingoel,1
mashable,davidoffff,1
mashable,richleighton,1
mashable,gregyatman,1
mashable,folkspod,1
mashable,nobadcreative,1
mashable,mariah808,1
mashable,ltbeyer,1
mashable,willmarlow,1
mashable,mylastbite,1
mashable,ravimohanv,1
mashable,donnamariea,1
mashable,kelly_browne,1
mashable,melodieoffbeat,1
mashable,jake_ruse,1
mashable,msholin,1
mashable,capecodgurl,1
mashable,ria6321,1
mashable,annalderson,1
mashable,dasocial1,1
mashable,bobwhite7,1
mashable,mrmcclain,1
mashable,tweet_newz,1
mashable,dbedeau,1
mashable,kirstinferrie,1
mashable,kwizgiver,1
mashable,classytweetr,1
mashable,udi_nir,1
mashable,lady_mcb,1
mashable,geekwearsprada,1
mashable,marcioguru,1
mashable,cathybytheriver,1
mashable,savvyplay,1
mashable,hfriday,1
mashable,kiwiwonder,1
mashable,smybinn,1
mashable,colourlab,1
mashable,greg007collins,1
mashable,anaserrano,1
mashable,mschieck,1
mashable,betsydrager,1
mashable,hukokauh,1
mashable,seejb,1
mashable,natashalai,1
mashable,davidcasalini,1
mashable,ohgibbs,1
mashable,jaysantiagoph,1
mashable,ralfsvilands1,1
mashable,sungit,1
mashable,lincolngreen,1
mashable,karinareitz,1
mashable,sharingair,1
mashable,ivonnesmit,1
mashable,zmay_16,1
mashable,simplyorganized,1
mashable,dpickup,1
mashable,toodleloo,1
mashable,spydraman,1
mashable,dandi77,1
mashable,nadinesaenger,1
mashable,loftsinatlanta,1
mashable,digimaverick,1
mashable,przemko,1
mashable,kskopek,1
mashable,debbieblock,1
mashable,tarathralls,1
mashable,shutterhawk,1
mashable,xxcaro,1
mashable,him357,1
mashable,_twit_ter,1
mashable,lisaannkaplan,1
mashable,haroldmellor,1
mashable,emination,1
mashable,persa,1
mashable,speli,1
mashable,dbsalk,1
mashable,bonitasmith,1
mashable,paulinelogan,1
mashable,vijeesh,1
mashable,bstronge,1
mashable,kelbri,1
mashable,moralsanddogma,1
mashable,michaelhannah,1
mashable,nicolethebear,1
mashable,javierpreda,1
mashable,christyseason,1
mashable,naa_community,1
mashable,elphabai,1
mashable,mskweenie,1
mashable,freytjepreitje,1
mashable,michaelteigen,1
mashable,catejca,1
mashable,suzieqjenny,1
mashable,namnamita,1
mashable,shutterblog,1
mashable,planetbill,1
mashable,doverdowns,1
mashable,csmetro,1
mashable,julielhoffmann,1
mashable,ebc_chet,1
mashable,kevinjenne,1
mashable,phillipsltd,1
mashable,fredomartin,1
mashable,andrewaburger,1
mashable,andewyndesigns,1
mashable,jbyrdman,1
mashable,alfreddepew,1
mashable,crobbies,1
mashable,stuartnavy,1
mashable,harith,1
mashable,yolandedup,1
mashable,thejunebug,1
mashable,aussieblonk,1
mashable,hrtsprk,1
mashable,serena_ss,1
mashable,shay2shay,1
mashable,lkhotastrmkr,1
mashable,philipbolt,1
mashable,aptinfrance,1
mashable,kali4niadazed,1
mashable,tycoon83,1
mashable,jmfluellen,1
mashable,anchorwave,1
mashable,lawyer_korea,1
mashable,johanmede,1
mashable,ankurdinesh,1
mashable,ftarnogol,1
mashable,sedruol,1
mashable,kristycasey,1
mashable,techhomie,1
mashable,thillais,1
mashable,tamil_news,1
mashable,grin_n_bear_it,1
mashable,linnea4591,1
mashable,batanero_itu,1
mashable,jordanevents,1
mashable,kooleon_m,1
mashable,lumison,1
mashable,gene_boyd,1
mashable,shawnrainey,1
mashable,quizzie,1
mashable,erciliamedeiros,1
mashable,ediblesouthshor,1
mashable,fcoel,1
mashable,jba_groomr,1
mashable,sarasotadream,1
mashable,gnimmons,1
mashable,ghs62,1
mashable,efr0702,1
mashable,andreabreen,1
mashable,adrianovinagre,1
mashable,zeebrasolutions,1
mashable,mjodirector,1
mashable,sgbrou,1
mashable,expatcoachmegan,1
mashable,mnconcierge,1
mashable,macnchuk,1
mashable,skysports,1
mashable,dailyrt,1
mashable,ronaldburgess,1
mashable,jaynakliner,1
mashable,lori423,1
mashable,rcwclady,1
mashable,jangault,1
mashable,renewablechoice,1
mashable,asklyndi,1
mashable,mencia16,1
mashable,chiaopi,1
mashable,aaronarnwine,1
mashable,akankshagoel,1
mashable,pjbeyer,1
mashable,hia1st,1
emperoranton,Ohdoctah,1
emperoranton,micah,1
emperoranton,sarahrobinson,1
Ohdoctah,jenowen,1
Ohdoctah,carlosamaral,1
Ohdoctah,raowen,1
micah,twonkism,1
micah,brittb1,1
micah,drew,1
micah,chickieleighc,1
micah,nowsourcing,1
sarahrobinson,johnhaydon,1
sarahrobinson,ginidietrich:,1
sarahrobinson,dannybrown,1
seattlelawgirl,HeckmanMedical:,1
seattlelawgirl,Seattlelawgirl,1
fridayluv,blove212:,1
fridayluv,bigdawg10,1
fridayluv,genedthecure,1
fridayluv,blove212,1
fridayluv,joshwink1,1
fridayluv,thejobsguy,1
fridayluv,fitnessnewslist,1
fridayluv,Argenispaul,1
fridayluv,npyskater,1
fridayluv,edwinsng,1
fridayluv,iammyy,1
fridayluv,ingvildanita,1
fridayluv,fabwealth,1
fridayluv,craynell,1
fridayluv,krazikrone,1
fridayluv,madbello,1
fridayluv,socialistsqurrl,1
fridayluv,bluegrasspundit,1
fridayluv,msfituniverse,1
fridayluv,benekcj,1
fridayluv,greatestwork,1
fridayluv,josephbtreaster,1
fridayluv,smybinn,1
fridayluv,yokibics,1
fridayluv,worldweary,1
fridayluv,indymike,1
fridayluv,lizamason,1
fridayluv,mark_rivas,1
fridayluv,rainalufagus,1
fridayluv,wellhonestlynow,1
fridayluv,rennguerr,1
fridayluv,loch121,1
fridayluv,okcamanda,1
fridayluv,radiopages,1
blove212:,argenispaul,1
bigdawg10,carolinaredd,2
bigdawg10,momspective,1
bigdawg10,coachparadise,1
bigdawg10,lyricallala7,1
bigdawg10,blove212,1
bigdawg10,hiphoptwit,1
bigdawg10,smallislandgal,2
bigdawg10,sparkle_monique,1
bigdawg10,mysmallpotatoes,1
bigdawg10,argenispaul,1
bigdawg10,cultvines,1
bigdawg10,carlc,1
bigdawg10,janetbeckers,1
bigdawg10,cindymorrison82,2
bigdawg10,modeling22,1
bigdawg10,alycianichole,1
bigdawg10,donnaridgway,1
bigdawg10,blackinkflow,1
genedthecure,blove212,1
genedthecure,kathieprimeau:,1
genedthecure,genedthecure,1
genedthecure,fortunes2tell,1
genedthecure,Andyv67,1
genedthecure,Addicted2Fame,1
genedthecure,northernsweetie,1
genedthecure,argenispaul,1
blove212,aaronbyrnes,1
blove212,azizshalan,1
blove212,blove212,1
blove212,joshwink1,1
blove212,thejobsguy,1
blove212,fitnessnewslist,1
blove212,Argenispaul,1
blove212,npyskater,1
blove212,argenispaul,1
joshwink1,argenispaul,1
thejobsguy,lisalotzer,1
thejobsguy,willardcmorgan3,1
thejobsguy,argenispaul,1
thejobsguy,resumebear,1
thejobsguy,workchic,1
thejobsguy,psynister,1
thejobsguy,anastasiamcgee,1
fitnessnewslist,argenispaul,1
Argenispaul,argenispaul,1
npyskater,argenispaul,1
susiecheng,cityrat59,1
susiecheng,bizzybee,1
susiecheng,KoalaChris,1
susiecheng,MARCOME,1
susiecheng,IamKat,1
susiecheng,DanicaR,1
susiecheng,chibbigirl,1
susiecheng,cybette,1
susiecheng,gillie,1
susiecheng,a_mayer,1
susiecheng,susiecheng,1
susiecheng,budor,1
susiecheng,jsbagain,1
susiecheng,nmjunction,1
susiecheng,colpalfrey,1
cityrat59,geovolt,1
cityrat59,auntiewiv,1
cityrat59,tsrawal,1
cityrat59,commonsense4,1
cityrat59,robinreekers,1
cityrat59,kencamp,1
cityrat59,SherylBreuker,1
cityrat59,rodneyarvid,1
cityrat59,sliceonline,1
cityrat59,a_mayer,1
MARCOME,sociallycubed,1
MARCOME,nrgcoacht,1
MARCOME,vttmusic,1
MARCOME,shannongrissom,1
MARCOME,gjf19621,1
MARCOME,energizespirit,1
MARCOME,saritameow,1
MARCOME,glass_half_full,1
MARCOME,lovin_life,1
MARCOME,sadekhm,1
MARCOME,jamaicanchula,1
a_mayer,LostinSweden,1
a_mayer,notonmyshift,1
a_mayer,weconverse,1
a_mayer,DoktorSpinn,1
a_mayer,sofiatalvik,1
a_mayer,JohnMellkvist,1
digitalchiro,GrantGriffiths,1
GrantGriffiths,thegreatmatt,1
xatstilo,francesamerikey:,1
xatstilo,TracyReneeJones,1
xatstilo,g_nizz,1
xatstilo,MATT_369,1
xatstilo,livinlime,1
xatstilo,xatstilo,1
xatstilo,AmericanYard,1
g_nizz,esoterismo,1
g_nizz,CaramelBella:,1
g_nizz,g_nizz,1
g_nizz,boomerstyle,2
g_nizz,grzman,1
g_nizz,ariaajaeger,1
g_nizz,cynikal3000,2
g_nizz,gdwg_moosed,1
g_nizz,jimmyrwilliams,1
g_nizz,hadramie,1
g_nizz,ininehemiahikpe,1
g_nizz,pudditatso,1
MATT_369,aaronbyrnes,1
MATT_369,edwinsng,1
MATT_369,tmjobrequest,1
MATT_369,johnlemoco,1
MATT_369,shalayneswyny,1
MATT_369,mcbillions,1
MATT_369,lurrywayne,1
MATT_369,azredlizard,1
MATT_369,cocosbutter,1
MATT_369,liannepacker,1
MATT_369,aberonline,1
MATT_369,greatminds_,1
MATT_369,laraslattery,1
MATT_369,ksscooby,1
MATT_369,chordictionary,1
MATT_369,azizshalan,1
MATT_369,maryrachbailey,1
MATT_369,mentor2mentor,1
MATT_369,souf_chic,1
MATT_369,diabay,1
MATT_369,chad_bordes,1
MATT_369,rai7rai,1
MATT_369,gonzalocordova,1
MATT_369,suzyslaw,1
MATT_369,harmonizingtfa,1
MATT_369,caribbeaninfo,1
MATT_369,mrscayo,1
MATT_369,entrepreneurhi,1
MATT_369,garytcoles,1
MATT_369,grabule,1
MATT_369,beingswell,1
MATT_369,moble,1
MATT_369,xxxgrafikart,1
MATT_369,cisklager,1
MATT_369,saritameow,1
MATT_369,jusdoingme,1
MATT_369,roepkepr,1
MATT_369,samjones7,1
MATT_369,vodkastr8,1
MATT_369,studentscare,1
MATT_369,debbiebarth,1
MATT_369,jillyo,1
MATT_369,netflixofporn,1
MATT_369,dealscout,1
MATT_369,trafficmanaz,1
MATT_369,drwright1,1
MATT_369,theelusivedj,1
MATT_369,niptuckbill,1
MATT_369,missexpatria,1
MATT_369,leftlaneceo,1
MATT_369,siamakmemarian,1
MATT_369,wilsondutcher,1
livinlime,20kiwi12,1
livinlime,giovannagarcia,1
livinlime,admrich,1
livinlime,txbelle10,1
livinlime,MaryWilhite:,1
livinlime,livinlime#followfriday,1
livinlime,worditup,1
livinlime,thelifehackpost,1
livinlime,ekkekkprecords,1
livinlime,limescribe,1
livinlime,hawaiianshirts,1
livinlime,dawntrenee,1
livinlime,chrisonair2,1
livinlime,bobbyringstrom,1
livinlime,ourdailytweet,1
livinlime,laurasrecipes,1
livinlime,chefj_hugh,1
livinlime,glitzyorbit,1
AmericanYard,americanyard,1
AmericanYard,eraneyal,1
AmericanYard,nonnysilver,1
AmericanYard,kingdavid251,1
AmericanYard,waspp,2
AmericanYard,looegee,1
teecrane,,2
teecrane,SaroJaneB,1
,elekauderer,1
,rickbakas,1
,ladyw87,1
,lionofheaven,1
,suzannemc7,1
,chynagyrl1980,1
,campnicole,1
,americanyard,1
,soundexecution,1
,atlien,1
,jeff_ischill,1
,tycody,1
,bboymorris,1
,ciarachillin,1
,jcuse_producer,1
,wethewest,1
,scoopemup,1
,rarebre3d,1
,mianaa,1
,shacorajael,1
,sirijoy,1
,kellie0427,1
,mosejames,1
,mikeboydjr,1
,cmgrant07,1
,nadyadee,1
,lohkc,1
,zeelyn,1
,atlantared,1
,rreedpc,1
,kiakelly,1
,larzshinobi,1
,arkansite,1
,andycrash,1
,stevesmorgon,1
,minxieme,1
,pjppr,1
,chillipromotion,1
,amymackinnon,1
,kiddo47,1
,rcantiques,1
,shamekko,1
,mizzvishizz,1
,andyamholst,1
,ryandrachenberg,1
,sushimat,1
,abcddesigns,1
,dailyposts,1
,revivalhouse,2
,dorothybeach,1
,sarcosuchus,1
,cidwoods,1
,cwuw,1
,charitywater,1
,myoprecision,1
,dalamanna,1
,no_ware_land,1
,lilsis1957,1
,debbiekirk,1
,leon_brown,1
,repodellipod,1
,phillygirl1,1
,grant_d,1
,mauijoycie,1
,songsforstephen,2
,tuliomartinez,1
,txtechnoguru,1
,kathykeefe,1
,kleesellshomes,1
,babycachet,1
,matthewmadotcom,1
,uangel,2
,lauravanderhye,1
,brooklynsidv,2
,remedybornmuzik,1
,playarabbitfan,1
,janhauser,1
,alice027,1
,josephrileyland,1
,icount4myearth,1
,halyung,1
,theginriots,1
,colleenkasel,1
,killspamdead,1
,cmoexec,1
,niaondine,1
,tedesco,1
,livingjoydotnet,1
,embethg,1
,djvectra,1
,hannieandcombs,1
,fabdesigner,1
,balb_ss,1
,hansoncentral,1
,dorrej,1
,dogvocate,1
,arizonakey,1
,chicago_tweets,1
,a_smithee,1
,loreannefeliz,2
,princessmina,1
,brendafranzo,1
,drkathleenyoung,1
,bellagirl1,1
,davewoodson,1
,perfect4money,1
,riseupnow,1
,night_shift_doc,1
,cmbsweden,1
,no_gimmicks,1
,mrkraftsingles,1
,lexxxruger,1
,totallygaia,1
,wwemsd,1
,kanika1386,1
,yatori,1
,_konna_,1
,luvnmuzik215,1
,sealights,1
,babybanz,1
,bigtennetwork,1
,ltjgrice,1
,1077theend,1
,notdiyheather,1
,lovilu,1
,suzthompson,1
,cleothinksgreen,1
,seasidestudio,1
,flexlewis1,1
,jazzstixx,1
,roepkepr,1
,palacinkabeauty,1
,stewieb,1
,isaaaa,1
,jamessp,1
,balliztika,1
,djceeblock,1
,tallboy40,1
,cipytweet,1
,madagoknee,1
,promisin,1
,craveportland,1
,valleydoll,1
,tim_hurson,1
,chiggerhill,1
,christinemv,1
,kimliebling,1
,mzdom,1
,cosmedic,1
,iamthewarehouse,1
,kimrmiller,1
,alameda_eagles,1
,foe_cal_dist_3,1
,nitewraith_comm,1
,t_r_a_p_s,1
,shopmollyd,1
,kellenrice,1
,lisa_s_also,1
,choonks,1
,barbarosa1,1
,tostina,1
,marytraynor,1
,kbkeibi,1
,musicgoondu,1
,acweber12,1
,djalmighty,1
,tweetfunnel,1
,thedyb,1
,danceswithmatts,1
,ripcordnews,1
,boloms,3
,whipdog,1
,nakulshenoy,1
,biznaz,1
,thickdecadence,1
,valharris,1
,steveintheoc,1
,rosannaclarke,1
,nickicawood,1
,mled,1
,elilusion,1
,philstratton,1
,barbarakb,1
,kevinstirtz,1
,loch121,1
,geekstuffog,1
,cltecondev,1
,colpalfrey,1
,everythingms,1
,belladonnarose,1
,ontheflypr,1
,oh_online,1
,kv305,1
,votolatino,1
,archaeology,1
,itsmyers,1
,archer77,3
,bonetm,1
,coffeegoodness,1
,paydayloanlady,1
,ratraceescapee,1
,agirlcalledbob,1
,runnrgrl,1
,nandwags,1
,rogeriowong,1
,markaustin,1
,melissaroberts,1
,dombeyawine,1
,thenewoldfilo,1
,daniellefab,1
,babasfarmlife,1
,suzcorner,1
,lhccmatt,1
,nielshailey,1
,kkyno,1
,vanns,1
,kenv,1
,kingco915,1
,mattdaviss,1
,ghanamixtapes,1
,beclear,1
,gunsplusbutter,1
,tashanitaadams,1
,mysticaljett,1
,danmcneil888,1
,tweetersstore,1
,helo_lolo,1
,actingblack,1
,jayne720,1
,roxinator,1
,bestwins,1
,scottybeane,1
,wah4life,1
,robynrstar,1
curiousillusion,MarcJenner:,1
curiousillusion,curiousillusion,1
khopkinson,CobrokeNation:,1
khopkinson,Realtyshark,1
khopkinson,blancameza,1
khopkinson,Golowfee,1
khopkinson,TNbase,1
khopkinson,joeworkman,1
khopkinson,spslferg,1
khopkinson,perfectquarters,1
khopkinson,khopkinson,1
khopkinson,amycesario,1
khopkinson,vanna_bonta,1
Realtyshark,julz341,1
blancameza,AhhPhotography:,1
blancameza,txheadshots:,1
blancameza,KnittingFairy,1
TNbase,aussiesmith,1
TNbase,drts3biznet,1
joeworkman,daniel_nguyen,2
joeworkman,DickRosen,1
joeworkman,DrewMeyers,1
joeworkman,entrepreneurHI,1
joeworkman,JayLeanRE,1
joeworkman,PHxREguy,1
joeworkman,RealEstateZebra,1
joeworkman,freedomweaver,1
joeworkman,reoryanprazen,1
spslferg,jcx27,1
spslferg,froward1,1
spslferg,TheRaj,1
spslferg,Serene_Balance,1
spslferg,theGreenJAR,1
spslferg,dimensionfour,1
spslferg,workformeonline,1
wow2000,ModelSupplies,1
wow2000,LisaMRicci,1
wow2000,peteravalos,1
wow2000,Memaloose,1
wow2000,Aislinnye24,1
wow2000,SantyAdh,1
wow2000,feblub,1
wow2000,diveke,1
ModelSupplies,elbertf,1
ModelSupplies,cory_froomkin,1
ModelSupplies,sharepositivity,1
ModelSupplies,smileyald23,1
ModelSupplies,barbaraduke,1
ModelSupplies,remymaq,1
ModelSupplies,_sweetp,1
ModelSupplies,therealdjames,2
ModelSupplies,lesperk,1
ModelSupplies,smartinvesting,1
ModelSupplies,bloggerjoe,1
ModelSupplies,cardcycle,1
ModelSupplies,oeyz,1
ModelSupplies,markgundlach,1
ModelSupplies,anitanelson,1
ModelSupplies,billzucker,1
ModelSupplies,inky_poo,1
ModelSupplies,petalice,1
ModelSupplies,michaelbandnanc,1
peteravalos,rebecca_reece,1
peteravalos,sheamusburns,1
peteravalos,madaerodog,1
Memaloose,memaloose,1
feblub,tophatdog,1
feblub,ezowens,1
feblub,multiaxismatt,1
davidbw,SharonHayes:,1
davidbw,retnev,1
SharonHayes:,nana_mex,1
SharonHayes:,misternoodle,1
SharonHayes:,vikkiflawith,1
SharonHayes:,twtrtraffic,1
SharonHayes:,blindtex52,1
SharonHayes:,judy_jay,1
SharonHayes:,debraward,1
SharonHayes:,idassets,1
SharonHayes:,adldesign,1
SharonHayes:,blingafe,1
SharonHayes:,rebelbrown,1
SharonHayes:,ananke23,1
SharonHayes:,neticule,1
SharonHayes:,aliciaas,1
SharonHayes:,schwartznow,1
SharonHayes:,tommytrc,1
retnev,SharonHayes,1
retnev,admanekim,1
retnev,bikobaker,1
retnev,vikerjeans,1
retnev,ditchwitch27,1
retnev,kazwccsocialnet,1
enamoredsoul,krist0ph3r,1
susanboylescat,sockingtion,1
susanboylescat,fleurus,1
susanboylescat,HoldemTalkRadio,1
HoldemTalkRadio,crushtor,1
HoldemTalkRadio,pscoach,1
HoldemTalkRadio,tia_smiley,1
HoldemTalkRadio,grooveparlortv,1
HoldemTalkRadio,butterflykisser,1
HoldemTalkRadio,growmap,1
HoldemTalkRadio,shanembauman,1
HoldemTalkRadio,randyinman,1
HoldemTalkRadio,fortunekookie,1
HoldemTalkRadio,donovantalk,1
HoldemTalkRadio,erinpatrick,1
HoldemTalkRadio,sugarnspicepix,1
HoldemTalkRadio,thoughtcloud,1
HoldemTalkRadio,kariecouture,1
HoldemTalkRadio,ihospitalitysam,1
HoldemTalkRadio,tsc0809,1
HoldemTalkRadio,beenarboy,1
HoldemTalkRadio,awakeningaimee,1
HoldemTalkRadio,pobutler,1
HoldemTalkRadio,adityaaryatama,1
HoldemTalkRadio,lerey,1
HoldemTalkRadio,zoesilkyterrier,1
HoldemTalkRadio,ecostrategy,1
buyselldomains,nametrader,1
buyselldomains,sharonhayes,1
sharonhayes,JosephRanseth:,1
sharonhayes,sharonhayes,1
sharonhayes,misskemi,1
sharonhayes,rosehwang,1
sharonhayes,clhaha,1
sharonhayes,eiricbachtiar,1
sharonhayes,mbartloff,1
sharonhayes,waspp,1
sharonhayes,jayl,1
sharonhayes,charityideas,1
sharonhayes,victoriabunch,1
sharonhayes,darkdoor,1
sharonhayes,concertreviewer,1
sharonhayes,sanfordlewis,1
sharonhayes,aliciaas,1
sharonhayes,gloson,1
sharonhayes,tombstonebadbob,1
altro,ProfessorQB,1
ProfessorQB,cindymcgregor,1
shikhabirdie,Youthpad,1
shikhabirdie,pappe_it_is,1
shikhabirdie,annkur,1
shikhabirdie,blingbang,1
shikhabirdie,kitz007,1
annkur,arpit105,2
annkur,vivekk,1
annkur,karkaremtg,1
kitz007,Aakriti,1
kitz007,_anshul,1
podgypanda,popupnz,1
podgypanda,dragatomi,1
podgypanda,artransmitte,1
dragatomi,64Colors,1
artransmitte,uberkraaft,1
artransmitte,mezandy,1
tracygardner,goforyourdream:,1
tracygardner,EdEntrepreneur,1
tracygardner,janebutton,1
tracygardner,techpatriot,1
smartzombie,ronnihannon,1
smartzombie,blissdesigns,1
smartzombie,toadjumps,1
smartzombie,JoanneMatthews,1
blissdesigns,cathygoodwin,1
toadjumps,tabloidterror:,1
toadjumps,MaraBG,1
toadjumps,Ponet,1
toadjumps,Toadjumps,1
JoanneMatthews,joannematthews,1
JoanneMatthews,ukdad,1
JoanneMatthews,athletehabits,1
JoanneMatthews,accessathletes,1
frjamescoles,ThePresbyCat,1
frjamescoles,theeppilepsyguy,1
ThePresbyCat,theeppilepsyguy,1
promedium,JesseNewhart,1
promedium,Mashable,1
JesseNewhart,kronich,1
JesseNewhart,wizardfkap,1
JesseNewhart,jorgemudry,1
JesseNewhart,hrkovar,1
Mashable,heatherirvin,1
Mashable,thirdsectorlab,1
Mashable,fromvikingstock,1
aaronbyrnes,ICMovies:,1
aaronbyrnes,aaronbyrnes,1
aaronbyrnes,Azizshalan,1
aaronbyrnes,lisakifttherapy,1
aaronbyrnes,straightstreet,1
aaronbyrnes,midnightmovie73,1
aaronbyrnes,azizshalan,1
aaronbyrnes,skyloader,1
aaronbyrnes,bonnibelle,2
ICMovies:,azizshalan,1
ICMovies:,writergal85,1
ICMovies:,jabberjim,1
Azizshalan,azizshalan,1
lisakifttherapy,azizshalan,1
lisakifttherapy,PinkAngel_0704:,1
lisakifttherapy,allapparel,1
lisakifttherapy,melisangel,1
lisakifttherapy,circuitvapor,1
lisakifttherapy,mscator,1
lisakifttherapy,OhMichael,1
lisakifttherapy,j0sh_m,1
lisakifttherapy,lisakifttherapy,1
lisakifttherapy,shanajackson,1
lisakifttherapy,kariecouture,1
straightstreet,lakenormanhomes,1
straightstreet,margiemiguel:,1
straightstreet,info4every1,1
straightstreet,AlessandraGo,1
straightstreet,faithgoddess7,1
straightstreet,straightstreet,1
straightstreet,RachBker,1
straightstreet,cgbrofmi,1
straightstreet,kbonded,1
straightstreet,ccoalition,1
straightstreet,Army,1
straightstreet,debbietraum,1
straightstreet,pro37phet,1
straightstreet,bob_edwards,1
straightstreet,michaelbathurst,1
straightstreet,mobands,1
straightstreet,azizshalan,1
straightstreet,gaudart,1
straightstreet,patrick_grady,1
straightstreet,diabay,1
straightstreet,paulina1,1
straightstreet,kobexxiv,1
straightstreet,murfbsurfn78,1
straightstreet,thegncguy,1
straightstreet,cokeman777,1
straightstreet,theclproject,1
straightstreet,shantanu_1,1
straightstreet,san_antonio,1
straightstreet,dr_uw,1
straightstreet,vodkastr8,1
straightstreet,panamajack54,1
straightstreet,amerasian944,1
straightstreet,jaysword,1
straightstreet,pinkcornbread,1
straightstreet,matthewneer,1
straightstreet,gtroxell,1
straightstreet,wiatoday,1
straightstreet,divorcedivablog,1
straightstreet,ursy919,1
straightstreet,tmpollard,1
straightstreet,floralmask,1
getris,prizuy,1
bestfoodbaby,queenmisha,1
bestfoodbaby,Adamfyre,1
queenmisha,Withoutemotion,1
queenmisha,gogetmel,1
queenmisha,mikeshurley,1
queenmisha,AnitaDFiouris,1
queenmisha,armyofnon,1
queenmisha,womenforchange,1
queenmisha,bill_welker,1
peacefulwarrior,GeoffWigz,1
outrage_designs,witchyangel11:,1
